data,model,acc,f1
uncleaned,lrc,76,
uncleaned,dtc,58,
uncleaned,abc,33,
uncleaned,rfc,70,
phrases_cleaned,lrc,76,76
phrases_cleaned,dtc,59,57
phrases_cleaned,abc,34,25
phrases_cleaned,rfc,71,70
words_cleaned,lrc,76,76
words_cleaned,dtc,62,61
words_cleaned,abc,42,33
words_cleaned,rfc,74,73
rare_cleaned,lrc,76,76
rare_cleaned,dtc,62,61
rare_cleaned,abc,40,31
rare_cleaned,rfc,74,73
lemma_lang,lrc,76,76
lemma_lang,dtc,64,63
lemma_lang,abc,47,39
lemma_lang,rfc,75,74
headless,lrc,77,77
headless,dtc,65,64
headless,abc,49,41
headless,rfc,76,75
nonrare,lrc,76,76
nonrare,dtc,64,63
nonrare,abc,49,41
nonrare,rfc,76,75
phrase_lemma,lrc,76,76
phrase_lemma,lrcovr,78,78
phrase_lemma,dtc,63,62
phrase_lemma,abc,48,40
phrase_lemma,rfc,74,73
two_grams,lrc,77,77
two_grams,lrcovr,78,78
two_grams,dtc,65,64
two_grams,abc,48,40
two_grams,rfc,76,75
one_grams,lrc,77,77
one_grams,lrcovr,78,78
one_grams,dtc,65,64
one_grams,rfc,76,75
tfidf_avg,lrc,63,58
tfidf_avg,lrcovr,60,54
tfidf_avg,dtc,60,59
tfidf_avg,rfc,67,66
weighted_tfidf,lrc,66,62
weighted_tfidf,lrcovr,63,58
weighted_tfidf,dtc,65,64
weighted_tfidf,rfc,71,70
ings_tfidf,lrc,77,77
ings_tfidf,lrcovr,78,78
ings_tfidf,dtc,65,65
ings_tfidf,rfc,74,73
ings_tfidf_fill,lrc,77,77
ings_tfidf_fill,lrcovr,78,78
ings_tfidf_fill,dtc,66,65
ings_tfidf_fill,rfc,74,73
ings_tfidf_pct,lrc,77,77
ings_tfidf_pct,lrcovr,78,78
ings_tfidf_pct,dtc,72,72
ings_tfidf_pct,rfc,78,77
smoothed_tfidf,lrc,74,75
smoothed_tfidf,lrcovr,74,75
smoothed_tfidf,dtc,74,75
smoothed_tfidf,rfc,74,75




